08:49:23 kwargs,  {'topic_id': 3} <class 'dict'>
08:49:37 kwargs,  {'id': 3} <class 'dict'>
08:49:37 kwargs,  {'id': 4} <class 'dict'>
08:49:37 kwargs,  {'topic_id': 3} <class 'dict'>
08:49:37 kwargs,  {'topic_id': 3} <class 'dict'>
08:49:39 kwargs,  {'id': 4} <class 'dict'>
08:49:39 kwargs,  {'id': 7} <class 'dict'>
08:49:39 kwargs,  {'topic_id': 4} <class 'dict'>
08:49:39 kwargs,  {'topic_id': 4} <class 'dict'>
08:49:42 kwargs,  {'id': 1} <class 'dict'>
08:49:42 kwargs,  {'id': 6} <class 'dict'>
08:49:42 kwargs,  {'topic_id': 1} <class 'dict'>
08:49:42 kwargs,  {'topic_id': 1} <class 'dict'>
08:50:03 kwargs,  {'id': 3} <class 'dict'>
08:50:03 kwargs,  {'id': 4} <class 'dict'>
08:50:03 kwargs,  {'topic_id': 3} <class 'dict'>
08:50:03 kwargs,  {'topic_id': 3} <class 'dict'>
08:50:05 kwargs,  {'id': 1} <class 'dict'>
08:50:05 kwargs,  {'id': 6} <class 'dict'>
08:50:05 kwargs,  {'topic_id': 1} <class 'dict'>
08:50:05 kwargs,  {'topic_id': 1} <class 'dict'>
08:50:08 kwargs,  {'id': 6} <class 'dict'>
08:50:08 kwargs,  {'id': 1} <class 'dict'>
08:50:08 kwargs,  {'id': 6} <class 'dict'>
08:50:08 kwargs,  {'topic_id': 1} <class 'dict'>
08:50:08 kwargs,  {'topic_id': 1} <class 'dict'>
08:50:10 kwargs,  {'id': 6} <class 'dict'>
08:50:10 kwargs,  {'id': 1} <class 'dict'>
08:50:10 kwargs,  {'id': 6} <class 'dict'>
08:50:10 kwargs,  {'topic_id': 1} <class 'dict'>
08:50:10 kwargs,  {'topic_id': 1} <class 'dict'>
08:57:33 kwargs,  {'id': 3} <class 'dict'>
08:57:33 kwargs,  {'id': 4} <class 'dict'>
08:57:33 kwargs,  {'topic_id': 3} <class 'dict'>
08:57:33 kwargs,  {'topic_id': 3} <class 'dict'>
大面积撒来得及啊是的
